ID,Category,Sub-Feature,Title,Preconditions,Steps,Test Data,Expected Result,Priority,Notes,Step chi tiết
CUR-03,Functional,Fiat,Change fiat currency,Open page,Change EUR to USD/BRL/VND (if supported),,"Currency symbol, order-limit currency, and derived amounts update. Locale formatting respected.",High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Nhập ký tự/định dạng không hợp lệ để xác minh thông báo lỗi và chặn submit.
6. Đổi ngôn ngữ/locale và kiểm tra định dạng số (dấu phẩy/dấu chấm) cùng bản dịch nhãn/lỗi."
CUR-04,Negative,Fiat/Asset,Unsupported pair blocked,Platform configured to disallow certain pairs,Select an unavailable combination,,Dropdown prevents selection or shows clear error.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
MRK-01,Functional,Market Data,Market price shown with timestamp/auto-refresh,Open page,Observe market box for 60s,,Price updates at configured interval; timestamp or 'just now' indicator optional.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Ghi nhận **Market Price (M)** hiển thị trên form.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
MRK-02,Functional,Market Data,Highest order price reflects live orderbook,Open page,Compare with top P2P order list,,Values match within expected latency.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
PRC-01,Positive,Fixed Price,Enter price at exact lower bound (0.90x market),Market price M available,Enter Fixed price = 0.90*M,M=0.183828 ⇒ 0.1654452,Field accepts; no error; can proceed.,High,"Rounding rules applied (e.g., 2–6 decimals).","1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Ghi nhận **Market Price (M)** hiển thị trên form.
5. Nhập **Fixed price** = 0.90 × M và kiểm tra được chấp nhận."
PRC-02,Positive,Fixed Price,Enter price at exact upper bound (1.10x market),Market price M available,Enter Fixed price = 1.10*M,M=0.183828 ⇒ 0.2022108,Accepted; can proceed.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Ghi nhận **Market Price (M)** hiển thị trên form.
5. Nhập **Fixed price** = 1.10 × M và kiểm tra được chấp nhận."
PRC-03,Negative,Fixed Price,Below lower bound rejected,M known,Enter price = 0.8999*M,,Inline error 'price must be between 0.90–1.10 of market'; Next Step disabled.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Ghi nhận **Market Price (M)** hiển thị trên form.
5. Nhập **Fixed price** = 0.90 × M và kiểm tra được chấp nhận.
6. Nhập **Fixed price** = 1.10 × M và kiểm tra được chấp nhận."
PRC-04,Negative,Fixed Price,Above upper bound rejected,M known,Enter price = 1.1001*M,,Inline error; button disabled.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
PRC-05,Boundary,Fixed Price,Max decimal places,—,"Enter price with > allowed decimals (e.g., 10 dp)",0.1838280001,Value auto-rounded or error shown per spec.,Medium,Document allowed precision per fiat.,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
5. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**.
6. Nhập giá trị vượt số chữ số thập phân cho phép để kiểm tra cơ chế làm tròn/chặn."
PRC-06,Negative,Fixed Price,Non-numeric input,—,Enter letters/symbols,"abc, €, ,",Validation error; field restores previous valid value.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
PRC-07,Negative,Fixed Price,Empty value,—,Clear the field,,Required error; cannot proceed.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Để trống trường liên quan và nhấn **Next/Submit** để quan sát thông báo lỗi.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
PRC-08,Security,Fixed Price,Bypass client validation via DevTools,Intercept request,Set price outside server bounds in payload,price=2x market,Server rejects with 400 + clear message; no ad created.,Critical,API test.,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Mở **DevTools → Network** để quan sát **POST /p2p/ads**.
5. Thử sửa payload (giá ngoài biên/trường thừa) và xác minh server trả lỗi/phớt lờ trường không hợp lệ.
6. Nhấn **Next** tới Step 2 (nếu có), sau đó **Submit** để tạo quảng cáo và kiểm tra thông báo thành công."
QTY-01,Positive,Target Quantity,Minimum positive quantity accepted,Asset has min trade amount A_min,Enter quantity = A_min,,Accepted; derived fiat shows correctly.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Nhập **Target quantity** > 0 đúng **precision** của asset.
6. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
7. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**."
QTY-02,Boundary,Target Quantity,Quantity with max decimal places,Asset precision P,Enter decimals = P,,Accepted,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Nhập **Target quantity** > 0 đúng **precision** của asset.
5. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
6. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**.
7. Nhập giá trị vượt số chữ số thập phân cho phép để kiểm tra cơ chế làm tròn/chặn."
QTY-03,Negative,Target Quantity,Exceeds allowed precision,Asset precision P,Enter decimals = P+1,,Inline error,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Nhập giá trị vượt số chữ số thập phân cho phép để kiểm tra cơ chế làm tròn/chặn.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
QTY-04,Negative,Target Quantity,Zero quantity,—,Enter 0,,Error: must be > 0,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Nhập **Target quantity** > 0 đúng **precision** của asset.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
QTY-05,Negative,Target Quantity,Extremely large quantity,—,Enter > platform max,,Error or cap; prevent overflow.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Nhập **Target quantity** > 0 đúng **precision** của asset.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
QTY-06,Functional,Target Quantity,Auto-calculated fiat value updates when price changes,Set quantity and price,Change fixed price,,Fiat estimation recalculates.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
LIM-01,Positive,Order Limit,"Set min=platform min, max=<= total fiat value",Have quantity Q and price P,Set min=Min_fiat; max=Q*P,,Accepted; derived DOGE underfields update.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **With Fiat** (VD: VND/USD/EUR).
6. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
7. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**."
LIM-02,Negative,Order Limit,Min > Max rejected,—,"Set min=200, max=100",,"Inline error, cannot proceed.",High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
5. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**."
LIM-03,Negative,Order Limit,Min below platform minimum,Platform min exists,Set min lower than allowed,,Error displayed.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
5. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**."
LIM-04,Negative,Order Limit,Max above total fiat value (Q*P),—,Set max > Q*P,,Error or auto-adjust suggestion.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
6. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**."
LIM-05,Boundary,Order Limit,Exact equal to total fiat value,—,Set max = Q*P,,Accepted.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
LIM-06,Boundary,Order Limit,Decimals precision per fiat,—,Enter many decimals,,Rounded or blocked per currency rules.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **With Fiat** (VD: VND/USD/EUR).
5. Nhập giá trị vượt số chữ số thập phân cho phép để kiểm tra cơ chế làm tròn/chặn."
PAY-01,Functional,Payment Methods,Select one payment method,At least one method configured,Choose bank transfer,,Method chip appears; field valid.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Payment method** (ít nhất 1, tối đa 5) từ danh sách đã cấu hình.
6. Xác minh không chọn trùng, không chọn phương thức **chưa xác minh** (nếu áp dụng)."
PAY-02,Functional,Payment Methods,Select up to 5 methods,Have ≥5 methods configured,Add 5 distinct methods,,Accepted; sixth selection disabled with notice.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
PAY-03,Negative,Payment Methods,No payment method selected,—,Leave empty,,Error 'Select at least one method' on submit.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Payment method** (ít nhất 1, tối đa 5) từ danh sách đã cấu hình.
6. Xác minh không chọn trùng, không chọn phương thức **chưa xác minh** (nếu áp dụng).
7. Nhấn **Next** tới Step 2 (nếu có), sau đó **Submit** để tạo quảng cáo và kiểm tra thông báo thành công."
PAY-04,Negative,Payment Methods,Duplicate method prevented,—,Attempt to add same method twice,,UI prevents duplicate; clear message.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
PAY-05,Security,Payment Methods,Unverified method cannot be used,Have an unverified payment method,Select unverified,,Blocked with explanation or prompts verification.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
TTL-01,Functional,Time Limit,Default time limit populated,Open page,Observe dropdown,,"Has sensible default (e.g., 15–30 min).",Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Tại **Order limit**, nhập **Min** và **Max** (đơn vị fiat).
5. Đảm bảo **Min ≤ Max** và **Max ≤ (Target quantity × Fixed price)**.
6. Chọn **Payment time limit** (VD: 15/30/45/60 phút)."
TTL-02,Functional,Time Limit,Change to another option,—,Select 45/60 min,,Value stored; reflected in payload.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Mở **DevTools → Network** để quan sát **POST /p2p/ads**.
5. Thử sửa payload (giá ngoài biên/trường thừa) và xác minh server trả lỗi/phớt lờ trường không hợp lệ."
TTL-03,Negative,Time Limit,Invalid custom value blocked (if free input),If custom input supported,Enter 0 or 1000,,Error displayed.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
STP2-01,Functional,Remarks,Enter plain-text remarks within limit,On Step 2,"Type remarks <= limit (e.g., 500 chars)",,Accepted; counter updates.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Nhập **Remarks** trong giới hạn ký tự (ví dụ ≤ 500).
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
STP2-02,Negative,Remarks,Exceed remark length limit,—,Paste text > limit,,Error and remaining/over counter.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
